order_details_id,order_id,pizza_id,quantity
1.00,1.00,hawaiian_m,1
2.00,2.00,classic_dlx_m,1
3.00,2.00,five_cheese_l,1
4.00,2.00,ital_supr_l,1
5.00,2.00,mexicana_m,1
6.00,2.00,thai_ckn_l,1
7.00,3.00,ital_supr_m,1
8.00,3.00,prsc_argla_l,1
9.00,4.00,ital_supr_m,1
10.00,5.00,ital_supr_m,1
11.00,6.00,bbq_ckn_s,1
12.00,6.00,the_greek_s,1
13.00,7.00,spinach_supr_s,1
14.00,8.00,spinach_supr_s,1
15.00,9.00,classic_dlx_s,1
16.00,9.00,green_garden_s,1
17.00,9.00,ital_cpcllo_l,1
18.00,9.00,ital_supr_l,1
19.00,9.00,ital_supr_s,1
20.00,9.00,mexicana_s,1
21.00,9.00,spicy_ital_l,1
22.00,9.00,spin_pesto_l,1
23.00,9.00,veggie_veg_s,1
24.00,10.00,mexicana_l,1
25.00,10.00,southw_ckn_l,1
26.00,11.00,bbq_ckn_l,1
27.00,11.00,cali_ckn_l,1
28.00,11.00,cali_ckn_m,1
29.00,11.00,pepperoni_l,1
30.00,12.00,cali_ckn_l,1
31.00,12.00,cali_ckn_s,1
32.00,12.00,ckn_pesto_l,1
33.00,12.00,ital_supr_m,1
34.00,13.00,mexicana_l,1
35.00,14.00,the_greek_s,1
36.00,15.00,big_meat_s,1
37.00,15.00,five_cheese_l,1
38.00,15.00,soppressata_l,1
39.00,15.00,the_greek_s,1
40.00,16.00,four_cheese_l,1
41.00,16.00,napolitana_s,1
42.00,16.00,thai_ckn_l,1
43.00,17.00,bbq_ckn_l,1
44.00,17.00,calabrese_m,1
45.00,17.00,five_cheese_l,1
46.00,17.00,four_cheese_m,1
47.00,17.00,ital_supr_m,1
48.00,17.00,ital_veggie_s,1
49.00,17.00,mediterraneo_m,2
50.00,17.00,mexicana_l,1
51.00,17.00,peppr_salami_s,1
52.00,17.00,spinach_fet_l,1
53.00,18.00,napolitana_l,1
54.00,19.00,ital_cpcllo_l,1
55.00,19.00,sicilian_l,1
56.00,20.00,big_meat_s,1
57.00,20.00,five_cheese_l,1
58.00,21.00,ital_cpcllo_l,1
59.00,22.00,five_cheese_l,1
60.00,22.00,ital_cpcllo_m,1
61.00,22.00,southw_ckn_l,1
62.00,23.00,southw_ckn_s,1
63.00,24.00,bbq_ckn_m,1
64.00,24.00,ital_cpcllo_m,1
65.00,24.00,pepperoni_m,1
66.00,24.00,prsc_argla_s,1
67.00,25.00,sicilian_m,1
68.00,25.00,thai_ckn_l,1
69.00,26.00,classic_dlx_s,1
70.00,26.00,veggie_veg_l,1
71.00,27.00,bbq_ckn_l,1
72.00,27.00,classic_dlx_m,1
73.00,27.00,spinach_fet_l,1
74.00,28.00,ckn_alfredo_s,1
75.00,29.00,green_garden_s,1
76.00,30.00,thai_ckn_l,1
77.00,31.00,mexicana_m,1
78.00,31.00,pepperoni_s,1
79.00,32.00,big_meat_s,1
80.00,32.00,green_garden_l,1
81.00,32.00,ital_cpcllo_l,1
82.00,32.00,ital_supr_m,1
83.00,33.00,bbq_ckn_l,1
84.00,33.00,green_garden_s,1
85.00,34.00,the_greek_s,1
86.00,35.00,green_garden_m,1
87.00,35.00,pep_msh_pep_l,1
88.00,35.00,pepperoni_m,1
89.00,35.00,thai_ckn_l,1
90.00,36.00,bbq_ckn_m,1
91.00,36.00,classic_dlx_m,1
92.00,37.00,ital_supr_l,1
93.00,37.00,mexicana_l,1
94.00,38.00,hawaiian_s,1
95.00,38.00,ital_cpcllo_l,1
96.00,39.00,ital_supr_l,1
97.00,40.00,four_cheese_l,1
98.00,40.00,southw_ckn_s,1
99.00,41.00,four_cheese_m,1
100.00,41.00,green_garden_s,1
101.00,42.00,big_meat_s,1
102.00,42.00,five_cheese_l,1
103.00,42.00,mexicana_l,1
104.00,42.00,peppr_salami_m,1
105.00,43.00,ckn_alfredo_m,1
106.00,43.00,ital_supr_m,1
107.00,43.00,peppr_salami_l,1
108.00,44.00,spin_pesto_s,1
109.00,45.00,four_cheese_l,1
110.00,45.00,hawaiian_s,1
111.00,45.00,thai_ckn_m,1
112.00,46.00,ckn_pesto_l,1
113.00,46.00,classic_dlx_l,1
114.00,46.00,thai_ckn_m,1
115.00,47.00,southw_ckn_l,1
116.00,47.00,veggie_veg_s,1
117.00,48.00,ckn_pesto_m,1
118.00,48.00,green_garden_s,1
119.00,48.00,prsc_argla_l,1
120.00,48.00,spicy_ital_l,1
121.00,49.00,sicilian_l,1
122.00,50.00,the_greek_xl,1
123.00,51.00,bbq_ckn_l,1
124.00,51.00,pep_msh_pep_l,1
125.00,52.00,hawaiian_l,1
126.00,52.00,mexicana_l,1
127.00,52.00,spicy_ital_l,1
128.00,53.00,pep_msh_pep_s,1
129.00,53.00,spinach_supr_m,1
130.00,54.00,prsc_argla_m,1
131.00,54.00,thai_ckn_l,1
132.00,55.00,peppr_salami_s,1
133.00,55.00,spicy_ital_l,1
134.00,56.00,classic_dlx_m,1
135.00,56.00,mediterraneo_l,1
136.00,56.00,southw_ckn_m,1
137.00,57.00,classic_dlx_m,1
138.00,58.00,five_cheese_l,1
139.00,58.00,pepperoni_m,1
140.00,59.00,ital_veggie_s,1
141.00,59.00,pep_msh_pep_s,1
142.00,59.00,pepperoni_l,1
143.00,60.00,ckn_pesto_l,1
144.00,60.00,four_cheese_m,1
145.00,61.00,bbq_ckn_m,1
146.00,61.00,ital_supr_l,1
147.00,62.00,bbq_ckn_m,1
148.00,62.00,spinach_supr_m,1
149.00,63.00,pep_msh_pep_m,1
150.00,64.00,big_meat_s,1
151.00,65.00,pep_msh_pep_s,1
152.00,65.00,sicilian_s,1
153.00,65.00,spicy_ital_s,1
154.00,65.00,spinach_supr_m,1
155.00,66.00,classic_dlx_m,1
156.00,66.00,ital_cpcllo_m,1
157.00,67.00,southw_ckn_l,1
158.00,68.00,classic_dlx_m,1
159.00,68.00,ital_supr_l,1
160.00,68.00,ital_supr_m,1
161.00,69.00,bbq_ckn_l,1
162.00,70.00,ital_veggie_s,1
163.00,70.00,soppressata_l,1
164.00,71.00,thai_ckn_l,1
165.00,72.00,spinach_fet_l,1
166.00,73.00,thai_ckn_s,1
167.00,74.00,five_cheese_l,1
168.00,74.00,mexicana_l,1
169.00,74.00,spin_pesto_s,1
170.00,74.00,spinach_supr_l,1
171.00,75.00,ital_supr_s,1
172.00,75.00,mediterraneo_l,1
173.00,75.00,napolitana_l,1
174.00,76.00,big_meat_s,1
175.00,76.00,hawaiian_l,1
176.00,76.00,ital_veggie_l,1
177.00,76.00,spicy_ital_l,1
178.00,77.00,bbq_ckn_m,1
179.00,77.00,hawaiian_m,1
180.00,78.00,big_meat_s,1
181.00,78.00,classic_dlx_s,1
182.00,78.00,four_cheese_l,1
183.00,78.00,ital_cpcllo_m,1
184.00,78.00,spicy_ital_l,3
185.00,78.00,thai_ckn_s,1
186.00,79.00,ital_cpcllo_l,1
187.00,79.00,pep_msh_pep_s,1
188.00,79.00,thai_ckn_l,1
189.00,80.00,pepperoni_s,1
190.00,80.00,thai_ckn_m,1
191.00,81.00,thai_ckn_l,1
192.00,82.00,big_meat_s,1
193.00,82.00,cali_ckn_m,1
194.00,82.00,spicy_ital_l,1
195.00,82.00,veggie_veg_m,1
196.00,83.00,southw_ckn_s,1
197.00,84.00,pepperoni_l,1
198.00,85.00,classic_dlx_m,1
199.00,85.00,classic_dlx_s,1
200.00,85.00,ital_supr_l,1
201.00,85.00,the_greek_m,1
202.00,86.00,hawaiian_l,1
203.00,87.00,ital_cpcllo_m,1
204.00,87.00,mexicana_m,1
205.00,87.00,spinach_supr_l,1
206.00,87.00,spinach_supr_s,1
207.00,88.00,five_cheese_l,1
208.00,89.00,soppressata_l,1
209.00,89.00,thai_ckn_l,1
210.00,90.00,sicilian_l,1
211.00,90.00,thai_ckn_s,1
212.00,91.00,bbq_ckn_l,2
213.00,91.00,ckn_pesto_s,1
214.00,91.00,pepperoni_s,1
215.00,92.00,bbq_ckn_m,1
216.00,92.00,ital_supr_l,1
217.00,92.00,ital_supr_m,1
218.00,92.00,ital_veggie_s,1
219.00,92.00,pepperoni_m,1
220.00,92.00,peppr_salami_m,1
221.00,92.00,spinach_fet_s,1
222.00,92.00,spinach_supr_s,1
223.00,92.00,the_greek_m,2
224.00,93.00,sicilian_m,1
225.00,94.00,ital_cpcllo_m,1
226.00,94.00,southw_ckn_s,1
227.00,95.00,napolitana_s,1
228.00,95.00,peppr_salami_l,1
229.00,96.00,napolitana_s,1
230.00,97.00,big_meat_s,1
231.00,98.00,classic_dlx_l,1
232.00,98.00,napolitana_l,1
233.00,99.00,ital_supr_l,1
234.00,100.00,hawaiian_l,1
235.00,101.00,cali_ckn_l,1
236.00,101.00,pepperoni_l,1
237.00,101.00,soppressata_l,1
238.00,101.00,spicy_ital_m,1
239.00,102.00,bbq_ckn_s,1
240.00,102.00,prsc_argla_s,1
241.00,103.00,spinach_supr_s,1
242.00,104.00,bbq_ckn_m,1
243.00,104.00,ckn_alfredo_m,1
244.00,104.00,ital_veggie_m,1
245.00,104.00,veggie_veg_l,1
246.00,105.00,hawaiian_s,2
247.00,105.00,pepperoni_l,1
248.00,105.00,prsc_argla_m,1
249.00,106.00,mexicana_l,1
250.00,106.00,spicy_ital_l,1
251.00,107.00,cali_ckn_l,1
252.00,107.00,ital_supr_m,1
253.00,107.00,spicy_ital_l,1
254.00,107.00,veggie_veg_l,1
255.00,108.00,classic_dlx_l,1
256.00,108.00,hawaiian_l,1
257.00,108.00,spinach_supr_l,1
258.00,109.00,ital_cpcllo_l,1
259.00,109.00,ital_supr_l,1
260.00,109.00,pepperoni_m,1
261.00,109.00,prsc_argla_l,1
262.00,110.00,big_meat_s,1
263.00,110.00,napolitana_l,1
264.00,110.00,soppressata_l,1
265.00,110.00,spicy_ital_s,1
266.00,111.00,cali_ckn_m,1
267.00,111.00,five_cheese_l,1
268.00,111.00,pepperoni_m,1
269.00,111.00,spin_pesto_l,1
270.00,112.00,pepperoni_s,1
271.00,113.00,cali_ckn_l,1
272.00,113.00,mexicana_l,1
273.00,113.00,southw_ckn_m,1
274.00,114.00,pepperoni_l,1
275.00,114.00,sicilian_s,1
276.00,115.00,big_meat_s,1
277.00,115.00,napolitana_l,1
278.00,115.00,thai_ckn_m,1
279.00,116.00,five_cheese_l,1
280.00,117.00,peppr_salami_m,1
281.00,117.00,sicilian_l,1
282.00,118.00,prsc_argla_l,1
283.00,118.00,spinach_fet_s,1
284.00,119.00,four_cheese_m,1
285.00,120.00,classic_dlx_s,1
286.00,120.00,hawaiian_s,1
287.00,120.00,spinach_fet_l,1
288.00,121.00,bbq_ckn_m,1
289.00,121.00,four_cheese_l,1
290.00,121.00,sicilian_l,1
291.00,121.00,southw_ckn_l,1
292.00,122.00,ital_supr_m,1
293.00,123.00,ital_cpcllo_s,1
294.00,124.00,bbq_ckn_s,1
295.00,124.00,sicilian_l,1
296.00,124.00,spicy_ital_l,1
297.00,124.00,the_greek_s,1
298.00,125.00,the_greek_xl,1
299.00,126.00,veggie_veg_l,1
300.00,127.00,pepperoni_m,1
301.00,128.00,spicy_ital_s,1
302.00,129.00,big_meat_s,1
303.00,129.00,the_greek_m,1
304.00,130.00,hawaiian_s,1
305.00,130.00,ital_cpcllo_l,1
306.00,130.00,mexicana_m,1
307.00,130.00,southw_ckn_s,1
